,tendencia,explicación,url,media,time,suceso
61,Bitcoin,Por el mensaje que publicó Elon Musk,https://t.co/805lkaz0lI,https://pbs.twimg.com/media/E1OWIzLXEAQ3CGS.png,12/05/2021 23:24:43,aislado
62,YSQT,"Por la nueva canción de FMK, Tiago PZK, LIT Killah y Rusherking",https://t.co/veAmdVwWnM,https://pbs.twimg.com/media/E1OSOKkXEAIj9Ps.jpg,12/05/2021 23:07:36,artístico
63,Atleti,Por su victoria ante Real Sociedad en #LaLiga,https://t.co/paIAcGHOK7,https://pbs.twimg.com/media/E1ODwEGX0AAYPL0.jpg,12/05/2021 22:04:23,deportivo
64,El24,Porque informan que el Gobierno eliminará el feriado puente establecido para el 24 de mayo,https://t.co/L8gOe1AYKX,https://pbs.twimg.com/media/E1ODckoWEAgl6sA.jpg,12/05/2021 22:03:03,covid
65,Milan,Porque venció a Torino en la #SerieA,https://t.co/0OIA2Mop0q,https://pbs.twimg.com/media/E1NzFLTXoAQlKIm.jpg,12/05/2021 20:51:33,deportivo
66,CristianoRonaldo,Porque alcanzó los 100 goles en la Juventus,https://t.co/2vU3MXGTBv,https://pbs.twimg.com/media/E1Ny3bDX0AEttZm.jpg,12/05/2021 20:50:37,deportivo
67,GalGadot,Por el mensaje que publicó,https://t.co/5mkG3lYApd,https://pbs.twimg.com/media/E1Nh2wAXsAUofZx.jpg,12/05/2021 19:36:17,político
68,VillaCarlos,Porque venció a Estudiantes de San Luis y avanzó a octavos de la #CopaArgentina,https://t.co/Wd9P1EU1BD,https://pbs.twimg.com/media/E1Nbj_rWEAAKPBX.jpg,12/05/2021 19:08:48,deportivo
69,JulioFalcioni,Porque informan que su esposa falleció,https://t.co/vLGli8ajLu,https://pbs.twimg.com/media/E1NL3pUXEAY6GOh.jpg,12/05/2021 18:00:14,trágico
70,Nicaragua,Por el tweet de @ONU_es que retwitteó @alferdez,https://t.co/lAGOD8KZCg,https://pbs.twimg.com/media/E1NIjx5XIAcZ-TJ.jpg,12/05/2021 17:45:46,político
71,SergioHernández,Porque será el entrenador de la Selección masculina de básquet en los Juegos Olímpicos,https://t.co/L2qp6Y2rGr,https://pbs.twimg.com/media/E1NDmXbXsAI9CIw.jpg,12/05/2021 17:24:06,deportivo
72,Homero,Porque hoy es su cumpleaños,https://t.co/TsHY6ko10S,https://pbs.twimg.com/media/E1NCxwTXMAgNL5S.jpg,12/05/2021 17:20:31,conmemorativo
73,Ruggeri,Por sus declaraciones en #ESPNF90 sobre las clases presenciales,https://t.co/ftspa8ZhjJ,https://pbs.twimg.com/ext_tw_video_thumb/1392528462376808451/pu/img/pIpt39HTw8uAkKss.jpg,12/05/2021 17:14:41,covid
74,Nadia,Porque Podoroska venció a Serena Williams y avanzó a octavos de #IBI21,https://t.co/AslXuCAOVx,https://pbs.twimg.com/media/E1Mj3ZiWQAcNT3T.jpg,12/05/2021 15:05:27,deportivo
75,Loki,Por el nuevo póster de esa serie,https://t.co/0xzBKoYlNO,https://pbs.twimg.com/media/E1MeZSqXoAAGcC2.jpg,12/05/2021 14:41:33,artístico
76,Ajax,Porque fundió su trofeo de la #Eredivisie y lo convirtió en más de 42 mil estrellas que enviará a todos sus abonados,https://t.co/zab9TmEgvK,https://pbs.twimg.com/media/E1McpwTXEAErX_U.jpg,12/05/2021 14:33:56,deportivo
77,CONICET,Por la publicación de un informe sobre el impacto de la presencialidad escolar en los casos de #COVID19 https://t.co/Ei0wECuR1t,https://t.co/Ei0wECuR1t,https://pbs.twimg.com/media/E1MZaKfXEAI3rGu.jpg,12/05/2021 14:19:46,covid
78,Verbitsky,Por las declaraciones de Carlos Zannini en #BrotesVerdes,https://t.co/TwxrKuTYFd,https://pbs.twimg.com/ext_tw_video_thumb/1392483478269317123/pu/img/LeSCuCSsL-XPva1R.jpg,12/05/2021 14:19:04,político
79,Macron,Por su reunión con Alberto Fernández,https://t.co/JoRwCqbpZU,https://pbs.twimg.com/media/E1MZIORXEAYj1K7.jpg,12/05/2021 14:18:32,político
80,FlorenceNightingale,Porque hoy es el #DiaDeLaEnfermeria en conmemoración de su nacimiento,https://t.co/z2Oxl14fmf,https://pbs.twimg.com/media/E1MY_3oX0AMtlD0.jpg,12/05/2021 14:17:58,conmemorativo
81,CityTorque,Porque empató con Independiente en la fase de grupos de la #Sudamericana,https://t.co/rGQmeYeS4h,https://pbs.twimg.com/media/E1J3OSAXEAQ2tDq.jpg,12/05/2021 2:31:10,deportivo
82,Piatti,Por el gol que marcó para Racing ante Sporting Cristal en la #Libertadores,https://t.co/CrctWIYEzv,https://pbs.twimg.com/media/E1J2QV8XIAMxpCH.jpg,12/05/2021 2:29:02,deportivo
83,FelipeJonatan,Porque convirtió el gol para la victoria de Santos ante Boca en la #Libertadores,https://t.co/EAGTGtMLVp,https://pbs.twimg.com/media/E1JWVjyXEAI1GKR.jpg,12/05/2021 0:07:29,deportivo
84,Cancillería,Por su comunicado sobre la situación en Israel y Palestina,https://t.co/J9uL2ElwD8,https://pbs.twimg.com/media/E1JHlzDXEAQg6h5.png,11/05/2021 23:03:03,político
85,BRITs2021,Por la entrega de esos premios,https://t.co/JZK5FmZFbf,https://pbs.twimg.com/media/E1I6XEBWQAYyZdu.jpg,11/05/2021 22:05:17,artístico
86,Barcelona,Porque igualó con Levante en #LaLiga,https://t.co/oZIMkkha9d,https://pbs.twimg.com/media/E1I6TrkXsAM4kw1.jpg,11/05/2021 22:05:01,deportivo
87,TraiganAGuede,Por el pedido para que Pablo Guede sea el próximo director técnico de San Lorenzo,https://t.co/Ls9hXUQ7PS,https://pbs.twimg.com/media/E1I6P23WYAAwYvs.jpg,11/05/2021 22:04:45,deportivo
88,MatíasAlmeyda,Porque contó en #SuperMitreDeportivo que intentó donar vacunas para la ciudad de Azul,https://t.co/404dfpSwtL,https://pbs.twimg.com/ext_tw_video_thumb/1392228967273406467/pu/img/GRkgePw69LF_dSBa.jpg,11/05/2021 21:24:21,covid
89,Emmita,Porque Santi Maratea contó que ya recibió el medicamento Zolgensma,https://t.co/8Ihg8ghrY9,https://pbs.twimg.com/ext_tw_video_thumb/1392220905934368771/pu/img/Uf-DPAJbcjXo1_rV.jpg,11/05/2021 20:51:48,aislado
90,AstraZeneca,Porque el Ministerio de Salud anunció la llegada de más de 4 millones de dosis de su vacuna contra el #COVID19 durante el mes de mayo,https://t.co/tgglAk2seM,https://pbs.twimg.com/media/E1IYcVmWQAMHURU.png,11/05/2021 19:37:04,político
91,TelAviv,Porque reportan un ataque con cohetes disparados desde Gaza hacia esa ciudad de Israel,https://t.co/YUt8EkPP4d,https://pbs.twimg.com/ext_tw_video_thumb/1392183329781424134/pu/img/iBu14CSmnEgVxUvT.jpg,11/05/2021 19:26:06,político
92,ManchesterCity,Porque se consagró campeón de la #PremierLeague 2020/21,https://t.co/Rm1QCoioBE,https://pbs.twimg.com/media/E1IUPKXXsAQgQva.jpg,11/05/2021 19:18:41,deportivo
93,Coldplay,Por su presentación en los #BRITs,https://t.co/5wwjIOIkz1,https://pbs.twimg.com/ext_tw_video_thumb/1392195693704585219/pu/img/6oDkKZMnvRIr6Jg3.jpg,11/05/2021 19:18:26,artístico
94,Leuco,Por sus declaraciones en #ElDiarioDeLeuco,https://t.co/xyNIP84zmV,https://pbs.twimg.com/ext_tw_video_thumb/1392171278052859908/pu/img/wJhJH6XrQKndn1lg.jpg,11/05/2021 17:38:57,mediático
95,Tehuel,Porque se cumplen dos meses desde la desaparición de Tehuel de la Torre,https://t.co/kuyG8NjGf8,https://pbs.twimg.com/media/EytEH1LW8AIQBaQ.jpg,11/05/2021 17:38:17,político
96,BobMarley,Porque se cumplen 40 años desde su fallecimiento,https://t.co/Aet05h5dAx,https://pbs.twimg.com/media/E1HpHLjWUAAckHN.jpg,11/05/2021 16:10:16,conmemorativo
97,PedroSánchez,Por su reunión con Alberto Fernández,https://t.co/oxSpN2zaOk,https://img.minutoneuquen.com/u/fotografias/fotosnoticias/2020/2/4/204011.jpg,11/05/2021 14:13:29,político
98,JonatanViale,Porque informan que está aislado y sus hijos dieron positivo de #COVID19,https://t.co/KXKW5MB7HV,https://pbs.twimg.com/media/E1HOCqiXEAAZAvS.jpg,11/05/2021 14:12:00,covid
99,CarlosMugica,Porque se cumplen 47 años desde su asesinato,https://t.co/vR5UaFK15e,https://pbs.twimg.com/media/E1HLZemX0AA5fGK.jpg,11/05/2021 14:00:27,conmemorativo
100,FelipeVI,Por su reunión con Alberto Fernández,https://t.co/72QafTPSDd,https://pbs.twimg.com/media/E1HIYCLXoAYakuL.jpg,11/05/2021 13:47:15,político
101,NadiaPodoroska,Porque venció a Laura Siegemund y enfrentará a Serena Williams en la segunda ronda de #IBI21,https://t.co/HZJ4VnkxdB,https://pbs.twimg.com/media/E1HHSTtX0AQSOw9.jpg,11/05/2021 13:42:29,deportivo
102,HimnoArgentino,Porque se cumplen 208 años desde que fue aprobado por la Asamblea del Año XIII,https://t.co/PO0IILKaPk,https://pbs.twimg.com/ext_tw_video_thumb/1392110638772760583/pu/img/SdiOLZvp-vTKMZZ0.jpg,11/05/2021 13:33:50,conmemorativo
103,Westbrook,Porque se convirtió en el jugador con más triple-dobles en la historia de la #NBA,https://t.co/6Z0mHkAnJR,https://pbs.twimg.com/media/E1EgJZyWQAcjdPn.jpg,11/05/2021 1:32:14,deportivo
104,Lanata,Porque contó en #LoDeMariana que recibió la vacuna contra el #COVID19,https://t.co/d16jUWmCPD,https://pbs.twimg.com/media/E1EKtKKX0AAingw.jpg,10/05/2021 23:58:34,covid
105,Klan,Por el anuncio del #TeamArgentina para la #GodLevelGrandSlam,https://t.co/w7yBSWjaO6,https://pbs.twimg.com/media/E1EI0YHWQAIl9ku.jpg,10/05/2021 23:50:19,deportivo
106,JohnMulaney,Porque informan que se divorcia de Anna Marie Tendler,https://t.co/ePeWS8m4wx,https://pbs.twimg.com/media/E1D4UgOXIAQlf2T.png,10/05/2021 22:38:15,aislado
107,Fulham,Porque perdió ante Burnley y descendió a la #Championship,https://t.co/IbeLoVsWhf,https://pbs.twimg.com/media/E1DsU3BWEAYCtm9.jpg,10/05/2021 21:45:50,deportivo
108,Cobos,Por sus declaraciones en #CNNPrimeraMañana sobre la vacunación de Mauricio Macri contra el #COVID19,https://t.co/rXH4NzGYoG,https://pbs.twimg.com/ext_tw_video_thumb/1391870732725100544/pu/img/uYd2G7lGWpYXD7se.jpg,10/05/2021 21:41:41,covid
109,Progresar,Por quienes recibieron el resultado de su solicitud para esa beca,https://t.co/4D6xEL0NSz,https://pbs.twimg.com/media/E1DqBk8XIAMDPpY.jpg,10/05/2021 21:35:46,político
110,Gaza,Porque reportan ataques entre el grupo Hamas e Israel,https://t.co/kccNTwqmd3,https://pbs.twimg.com/media/E1Dh211WEAQCyE1.jpg,10/05/2021 21:00:05,político
111,Alvarado,Porque venció a Quilmes en la #PrimeraNacional,https://t.co/16XeVqPG5l,https://pbs.twimg.com/media/E1DWqUMXsAYIIwI.jpg,10/05/2021 20:11:11,deportivo
112,IndiaSudáfrica,Porque el Ministerio de Salud confirmó la detección de esas variantes de SARS-CoV-2 en Argentina,https://t.co/73Uhw4tyVn,https://pbs.twimg.com/media/E1DWfAEWUAMafb9.png,10/05/2021 20:10:24,covid
113,JuanDarthés,Por sus declaraciones en #DomingoEspetacular,https://t.co/OgHPH74WzC,https://pbs.twimg.com/ext_tw_video_thumb/1391808182088085508/pu/img/ZlVr_hYv_kDsZC4j.jpg,10/05/2021 17:35:56,mediático
114,Borges,Por las declaraciones de Martín Kohan en Página 12,https://t.co/SSvKTvVAiH,https://pbs.twimg.com/media/E1CVWF1XsAI8vlp.png,10/05/2021 15:25:48,mediático
115,ÁngelBrito,Porque contó que dio positivo de #COVID19,https://t.co/tpkNWvanCM,https://pbs.twimg.com/media/E1CFaUHWQAMZCUW.jpg,10/05/2021 14:16:11,covid
116,TomHardy,Por el nuevo trailer de #VenomLetThereBeCarnage,https://t.co/l37nYwZpUD,https://pbs.twimg.com/media/E01DkUCVcAAVXqY.jpg,10/05/2021 14:07:56,artístico
117,Delbonis,Porque venció a Karen Khachanov y avanzó a segunda ronda de #IBI21,https://t.co/TtD2P63bNS,https://pbs.twimg.com/media/E1CBLQaXMAA-o38.jpg,10/05/2021 13:57:41,deportivo
118,AntonioCosta,Por su reunión con Alberto Fernández,https://t.co/btsAANFWNJ,https://pbs.twimg.com/media/E1CBFnTXMAURCYx.jpg,10/05/2021 13:57:18,político
119,SanFernando,Por el incendio en una planta panificadora de esa localidad,https://t.co/KOqe6iCsdF,https://pbs.twimg.com/media/E1CA-_4X0AYY6oj.jpg,10/05/2021 13:56:51,trágico
120,PERRIE,Porque Perrie Edwards anunció que está embarazada,https://t.co/kfFzW3VHcH,https://pbs.twimg.com/media/E1CA02ZWUAAx6IQ.jpg,10/05/2021 13:56:09,aislado
121,Fantino,Por su presencia en #ElShowDelFutbol,https://t.co/VPUifWS7mo,https://pbs.twimg.com/ext_tw_video_thumb/1391594095349538821/pu/img/lzH7jzKDpwLSXEAK.jpg,10/05/2021 3:30:44,mediático
122,SDF2021,Por el regreso de #ElShowDelFútbol,https://t.co/uvxagVlGEq,https://pbs.twimg.com/media/E0_exaZWQAA2Ohu.jpg,10/05/2021 2:28:48,mediático
123,JohnsonJohnson,Porque Mauricio Macri contó que recibió su vacuna contra el #COVID19 en Estados Unidos,https://t.co/iTJRt8HK5E,https://pbs.twimg.com/media/E0_aw97WUAM5Nrl.png,10/05/2021 1:50:38,covid
124,MaxiRodríguez,Por su gol ante Sarmiento en la #CopaDeLaLiga,https://t.co/gNPqQugpXb,https://pbs.twimg.com/media/E0_OFOzXEAAu59x.jpg,10/05/2021 1:30:51,deportivo
125,MiguelLifschitz,Porque informan que falleció a sus 65 años,https://t.co/VJog2yh7pR,https://pbs.twimg.com/media/E0_GfyIWYAEnKbk.jpg,10/05/2021 0:22:04,conmemorativo
126,TratoHecho,Por su estreno en Telefe,https://t.co/6FAzEm0II6,https://pbs.twimg.com/media/E0_GYMpWYAMZP2r.jpg,10/05/2021 0:21:33,mediático
127,Superclásico,Porque Boca y River se enfrentarán en los cuartos de la #CopaDeLaLiga,https://t.co/L0U54HKv2q,https://pbs.twimg.com/media/E0-56OaXIAAm7s9.jpg,09/05/2021 23:27:05,deportivo
128,Independiente,Porque venció a Huracán y clasificó a los cuartos de la #CopaDeLaLiga,https://t.co/YQzoh47td1,https://pbs.twimg.com/media/E0-2Z56WEAIzYig.jpg,09/05/2021 23:11:46,deportivo
